"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Red Sox","2031","5950","203","831","792","114","9.1 %","19.9 %",".191",".311",".271",".341",".461",".343","113","-3.4","88.3","34.9","32.9"
"Yankees","1981","5803","251","822","777","65","9.8 %","21.7 %",".207",".291",".257",".334",".465",".342","113","16.6","109.1","13.7","32.3"
"Brewers","2245","5882","225","748","720","108","9.4 %","21.4 %",".188",".299",".259",".334",".447",".336","109","1.5","65.9","60.6","32.2"
"Astros","2139","6023","200","803","755","80","9.1 %","17.8 %",".173",".300",".268",".343",".442",".339","116","-3.5","114.6","-16.5","30.6"
"Dodgers","1927","4920","186","643","568","51","10.4 %","23.0 %",".196",".297",".251",".338",".447",".337","114","15.1","97.8","42.7","30.5"
"Cardinals","2116","6262","221","777","749","56","9.2 %","22.4 %",".174",".303",".257",".333",".430",".329","106","12.2","61.4","26.6","29.4"
"Athletics","2126","5801","222","775","725","39","9.0 %","22.4 %",".199",".299",".256",".331",".455",".338","115","-2.5","98.0","-5.7","29.2"
"Braves","1812","5573","166","695","654","86","8.7 %","20.1 %",".168",".308",".264",".333",".432",".328","103","10.7","32.6","60.0","27.7"
"Nationals","2004","5810","174","728","667","112","8.6 %","19.9 %",".166",".300",".258",".329",".425",".325","101","16.3","24.9","38.8","25.5"
"Mets","1763","4969","146","574","572","64","9.3 %","22.5 %",".163",".304",".252",".329",".415",".323","106","7.9","45.0","43.4","25.5"
"Angels","2015","5271","175","636","616","65","9.6 %","19.0 %",".166",".288",".256",".333",".422",".326","108","-6.5","45.9","18.3","24.4"
"Indians","1763","4991","170","648","586","110","10.9 %","19.9 %",".183",".271",".240",".329",".423",".325","103","15.6","31.0","35.5","23.6"
"Cubs","2097","5457","153","654","662","45","9.2 %","21.2 %",".163",".309",".260",".336",".423",".326","103","-1.0","19.1","34.9","23.3"
"Phillies","2464","6810","219","822","757","107","9.9 %","22.6 %",".165",".297",".248",".330",".413",".322","102","4.6","19.6","-28.1","21.3"
"Reds","1964","5407","171","631","655","50","9.1 %","20.0 %",".162",".316",".272",".344",".434",".336","109","-15.5","41.4","-13.1","20.5"
"Rays","1774","4613","126","553","477","75","8.5 %","23.4 %",".154",".322",".261",".332",".415",".324","106","-0.7","33.9","7.3","19.8"
"Twins","1987","5703","214","697","729","37","7.5 %","23.1 %",".185",".294",".250",".312",".436",".321","102","-3.8","7.8","-28.4","17.2"
"Pirates","1804","4573","119","539","517","62","8.1 %","18.9 %",".159",".303",".262",".327",".421",".323","102","-10.0","2.9","16.6","16.9"
"Padres","1989","5329","168","577","549","105","8.0 %","21.2 %",".163",".290",".249",".310",".412",".310","96","-1.8","-31.0","14.6","15.8"
"Rockies","1855","4702","179","587","594","75","8.4 %","23.3 %",".194",".304",".257",".325",".450",".331","92","0.8","-43.8","41.6","15.0"
"Royals","1712","4464","122","508","452","150","7.1 %","23.1 %",".153",".303",".249",".309",".401",".308","92","4.2","-39.7","33.9","14.4"
"Rangers","1592","4789","151","579","537","55","9.3 %","23.7 %",".165",".296",".244",".321",".409",".317","93","6.2","-31.9","13.9","14.3"
"Diamondbacks","1877","5036","142","516","552","51","7.9 %","20.8 %",".160",".283",".242",".305",".403",".305","89","-3.6","-74.2","46.5","13.7"
"Marlins","1633","4594","91","463","423","25","7.3 %","23.7 %",".120",".302",".240",".304",".359",".290","83","-10.4","-106.8","62.7","10.5"
"Blue Jays","1621","4750","162","518","539","44","7.5 %","24.3 %",".180",".295",".245",".306",".424",".315","98","-13.0","-26.5","-27.1","10.5"
"Mariners","1493","4463","128","487","489","85","8.1 %","21.2 %",".155",".305",".257",".324",".412",".319","103","-7.0","9.0","-59.7","9.9"
"Tigers","1552","4085","107","456","416","41","8.0 %","24.5 %",".156",".306",".246",".313",".401",".309","94","11.5","-20.1","-19.5","9.7"
"Giants","1521","3813","86","373","368","32","6.7 %","21.7 %",".131",".290",".241",".297",".372",".289","81","-0.3","-90.3","56.3","8.9"
"White Sox","1814","5627","150","610","577","91","6.5 %","25.1 %",".148",".305",".243",".300",".391",".300","88","-4.5","-87.8","-13.7","8.6"
"Orioles","1274","3183","99","325","287","44","7.4 %","25.9 %",".146",".285",".230",".294",".376",".293","82","-3.0","-73.6","-33.9","-0.3"
